Date,Dead,Action,
09-Oct,N/A,"Israel announced it will cut food, water and electricity to Gaza",
14-Oct,N/A,"Justin Trudeau affirmed Israel's right to defend itself",
16-Oct,N/A,"Ione Belarra of Spain accused Israel of carrying out a genocide, Jagmeet Singh of the NDP called for a ceasefire in Parliament, Justin Trudeau affirmed Israel's right to defend itself",
18-Oct,N/A,"Justin Trudeau affirmed Israel's right to defend itself",
21-Oct,1756,"Ireland criticized Israel's actions in Gaza",
22-Oct,1756,"Justin Trudeau affirmed Israel's right to defend itself",
27-Oct,3038,"Israel cut off all communications in Gaza for the first time",
31-Oct,3542,"Chile and Colombia recalled their ambassador to Israel, Bolivia cut all diplomatic ties, Brazil demanded for bombings to end",,
01-Nov,3648,"Colombia and Jordan recalled their ambassadors to Israel",
03-Nov,3826,"Honduras recalled its ambassador to Israel, Justin Trudeau reaffirmed Israel's right to defend itself",
04-Nov,3900,"Turkey recalled its ambassdor to Israel, Justin Trudeau reaffirmed Israel's right to defend itself",
05-Nov,4880,"Bernie Sanders called for an end to the bombines, Justin Trudeau reaffirmed Israel's right to defend itself",
06-Nov,4104,"Chad and South Africa recalled their ambassador to Israel and SA accused Israel of committing genocide",
08-Nov,4324,"Burnaby is the first CDN city to call for a ceasefire",
10-Nov,4506,"Olivia Chow, mayor of Toronto, and Emmanuel Macron call for ceasefire",