Date,Name,Country,Action,Source
09-Oct,N/A,Israel,"Food, water, electricity cut",https://www.bbc.com/news/world-middle-east-67051292
14-Oct,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/statements/2023/10/14/statement-prime-minister-humanitarian-gaza-strip
16-Oct,Ione Belarra,Spain,Accused Israel of carrying out a genocide,https://www.newarab.com/news/spanish-minister-accuses-israel-planned-gaza-genocide
16-Oct,Jagmeet Singh,Canada,Called for ceasefire in Commons,https://www.cbc.ca/news/politics/trudeau-poilievre-singh-israel-hamas-analysis-wherry-1.6999291
16-Oct,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/speeches/2023/10/16/prime-ministers-remarks-house-commons-situation-israel-gaza-and-west-bank
18-Oct,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/statements/2023/10/14/statement-prime-minister-humanitarian-gaza-strip
21-Oct,N/A,Ireland,Criticized Israel,https://www.irishexaminer.com/news/arid-41252125.html
22-Oct,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/readouts/2023/10/22/prime-minister-justin-trudeau-participates-meeting-president-united-states
27-Oct,N/A,Israel,Communications cut (first time),https://www.theguardian.com/world/2023/oct/27/gaza-internet-cutoff-israel-siege-casualties
31-Oct,N/A,Chile,Recalled ambassador,https://www.theguardian.com/world/2023/oct/31/bolivia-israel-hamas-gaza-war-crime
31-Oct,N/A,Colombia,Recalled ambassador,https://www.theguardian.com/world/2023/oct/31/bolivia-israel-hamas-gaza-war-crime
31-Oct,N/A,Bolivia,Cut diplomatic ties to Israel,https://www.theguardian.com/world/2023/oct/31/bolivia-israel-hamas-gaza-war-crime
31-Oct,Luiz Inácio Lula da Silva,Brazil,"Criticized Israel's actions, call for bombing to end",https://www.theguardian.com/world/2023/oct/31/bolivia-israel-hamas-gaza-war-crime
01-Nov,N/A,Colombia,Recalled ambassador,https://www.theguardian.com/world/live/2023/oct/31/israel-hamas-war-live-updates-latest-news-today-hamas-clashes-idf-gaza-aid-plan-failure?filterKeyEvents=false&page=with:block-6541aa008f08d9386c693bce
01-Nov,N/A,Jordan,Recalled ambassador,https://abcnews.go.com/International/wireStory/jordan-key-us-ally-recalls-ambassador-israel-tells-104538969
02-Nov,Doug Ford, Canada,"Called Pro-Palestine protests hate rallies, said Palestine flag is Hamas flag", https://www.msn.com/en-ca/news/world/ford-calls-pro-palestinian-demonstrations-hate-rallies-to-intimidate-jewish-communities/ar-AA1jC67V
03-Nov,N/A,Honduras,Recalled ambassador,https://www.reuters.com/world/middle-east/honduras-recalls-ambassador-israel-consultations-2023-11-03/
03-Nov,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/readouts/2023/11/03/prime-minister-justin-trudeau-meets-president-united-states-america-joe
04-Nov,N/A,Turkey,Recalled ambassador,https://www.newsweek.com/nato-member-joins-growing-list-countries-recalling-israel-ambassadors-1840921
04-Nov,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/readouts/2023/11/04/prime-minister-justin-trudeau-speaks-prime-minister-israel-benjamin
05-Nov,Bernie Sanders,USA,Called for end to Israeli airstrikes,https://www.theguardian.com/world/2023/nov/05/bernie-sanders-israeli-hamas-war
05-Nov,Justin Trudeau,Canada,Israel has a right to defend itself,https://www.pm.gc.ca/en/news/readouts/2023/11/05/prime-minister-justin-trudeau-speaks-president-egypt-abdel-fattah-el-sisi
06-Nov,N/A,South Africa,"Recalled ambassador, accused Israel of Genocide",https://edition.cnn.com/2023/11/06/africa/south-africa-chad-recall-diplomats-from-israel-intl/index.html
06-Nov,N/A,Chad,Recalled ambassador,https://edition.cnn.com/2023/11/06/africa/south-africa-chad-recall-diplomats-from-israel-intl/index.html
08-Nov,N/A,Canada,Called for Ceasefire - First CDN city,https://globalnews.ca/news/10077692/burnaby-israel-hamas-ceasefire/
10-Nov,Olivia Chow,Canada,Called for Ceasefire,https://www.cbc.ca/news/canada/toronto/olivia-chow-ceasefire-1.7025373
10-Nov,Emmanuel Macron,France,Called for Ceasefire,https://www.aljazeera.com/news/2023/11/11/frances-macron-urges-israel-to-stop-bombing-and-killing-civilians-in-gaza